file,precision,registers,version,block,sort,kernel time,total time,memory
4_SKEWED_1_100000,float,-,2,64,h,2267903,2280290,1722395276
4_SKEWED_1_100000,float,-,2,128,-,8414103,8418864,1721995276
4_SKEWED_1_100000,float,-,2,128,w,2084783,2097257,1722395276
4_SKEWED_1_100000,float,-,2,128,h,2328342,2340704,1722395276
4_SKEWED_1_100000,float,-,3,64,-,5401944,5405937,952757584
4_SKEWED_1_100000,float,-,3,64,w,1944714,1955222,246533072
4_SKEWED_1_100000,float,-,3,64,h,2091157,2101992,246947792
4_SKEWED_1_100000,float,-,3,128,-,5260866,5264825,1264201652
4_SKEWED_1_100000,float,-,3,128,w,1975069,1985077,252242484
4_SKEWED_1_100000,float,-,3,128,h,2092966,2103274,252045876
4_SKEWED_1_100000,float,-,4,64,-,5215495,5219449,719894792
4_SKEWED_1_100000,float,-,4,64,w,1925718,1936525,243388296
4_SKEWED_1_100000,float,-,4,64,h,2054375,2065160,243824520
4_SKEWED_1_100000,float,-,4,128,-,5067264,5071137,719894792
4_SKEWED_1_100000,float,-,4,128,w,1928939,1939783,243388296
4_SKEWED_1_100000,float,-,4,128,h,2087879,2098644,243824520
4_SKEWED_1_100000,double,-,1,64,-,6480605,6483885,472134216
4_SKEWED_1_100000,double,-,1,64,w,6974974,6986519,472534216
4_SKEWED_1_100000,double,-,1,64,h,6899508,6911021,472534216
4_SKEWED_1_100000,double,-,1,128,-,7213864,7217221,472134216
4_SKEWED_1_100000,double,-,1,128,w,6820464,6831995,472534216
4_SKEWED_1_100000,double,-,1,128,h,6784223,6795724,472534216
terminate called after throwing an instance of 'thrust::system::system_error'
  what():  parallel_for failed: out of memory
